Z1,Z2,Z3,Z4,,,mean,stdev,variance,max,min
-16064,-18380,-17080,-16512,,,,,,,
-16176,-18280,-17276,-16440,,,,,,,
-16180,-18340,-16940,-16568,,,,,,,
-16152,-18368,-17056,-16480,,,,,,,
-16092,-18356,-17244,-16456,,,,,,,
-16128,-18300,-17156,-16460,,,,,,,
-15976,-18480,-17228,-16644,,,,,,,
-16104,-18420,-17108,-16596,,,,,,,
-16152,-18284,-17200,-16580,,,,,,,
-16116,-18340,-17160,-16480,,,,,,,
-16012,-18444,-17160,-16588,,,,,,,
-16084,-18400,-17136,-16412,,,,,,,
-16116,-18424,-17188,-16512,,,,,,,
-16144,-18328,-17280,-16536,,,,,,,
-16140,-18344,-17292,-16452,,,,,,,
-16072,-18440,-16992,-16492,,,,,,,
-16040,-18480,-17260,-16504,,,,,,,
-16200,-18460,-17080,-16576,,,,,,,
-16052,-18312,-17324,-16564,,,,,,,
-16068,-18484,-17208,-16440,,,,,,,
-16124,-18468,-17220,-16340,,,,,,,
-16156,-18460,-17076,-16544,,,,,,,
-16012,-18396,-17084,-16552,,,,,,,
-15952,-18392,-17204,-16628,,,,,,,
-16132,-18500,-17220,-16424,,,,,,,
-16128,-18472,-17276,-16628,,,,,,,
-16172,-18356,-17180,-16376,,,,,,,
-16084,-18612,-17088,-16436,,,,,,,
-16128,-18404,-17200,-16296,,,,,,,
-15928,-18568,-17196,-16424,,,,,,,
-16072,-18512,-17160,-16432,,,,,,,
-15976,-18624,-17172,-16508,,,,,,,
-16104,-18352,-17148,-16412,,,,,,,
-15984,-18436,-17176,-16464,,,,,,,
-16164,-18384,-17148,-16472,,,,,,,
-16028,-18432,-17184,-16648,,,,,,,
-16132,-18368,-17288,-16460,,,,,,,
-16180,-18288,-17148,-16424,,,,,,,
-16084,-18388,-17180,-16520,,,,,,,
-16200,-18280,-17168,-16532,,,,,,,
-16044,-18304,-17088,-16576,,,,,,,
-16080,-18404,-17200,-16416,,,,,,,
-16064,-18416,-17180,-16496,,,,,,,
-15988,-18328,-16980,-16628,,,,,,,
-16008,-18416,-17236,-16432,,,,,,,
-15976,-18300,-17176,-16304,,,,,,,
-16076,-18404,-17068,-16444,,,,,,,
-16024,-18392,-17280,-16576,,,,,,,
-16052,-18388,-17220,-16544,,,,,,,
